Timestamp,Center for Mathematics & Computing (kW)
2/1/2019 0:00,134.5
2/1/2019 1:00,127.75
2/1/2019 2:00,128
2/1/2019 3:00,127.75
2/1/2019 4:00,128
2/1/2019 5:00,128
2/1/2019 6:00,127.75
2/1/2019 7:00,134.25
2/1/2019 8:00,153.5
2/1/2019 9:00,172.75
2/1/2019 10:00,179
2/1/2019 11:00,185.5
2/1/2019 12:00,185.5
2/1/2019 13:00,179
2/1/2019 14:00,185.5
2/1/2019 15:00,179
2/1/2019 16:00,172.75
2/1/2019 17:00,153.5
2/1/2019 18:00,153.5
2/1/2019 19:00,147
2/1/2019 20:00,140.75
2/1/2019 21:00,140.75
2/1/2019 22:00,147
2/1/2019 23:00,140.75
2/2/2019 0:00,140.5
2/2/2019 1:00,134.5
2/2/2019 2:00,134.25
2/2/2019 3:00,134.25
2/2/2019 4:00,134.25
2/2/2019 5:00,134.25
2/2/2019 6:00,134.5
2/2/2019 7:00,140.5
2/2/2019 8:00,134.25
2/2/2019 9:00,134.5
2/2/2019 10:00,127.75
2/2/2019 11:00,128
2/2/2019 12:00,127.75
2/2/2019 13:00,134.5
2/2/2019 14:00,140.5
2/2/2019 15:00,140.75
2/2/2019 16:00,147
2/2/2019 17:00,140.75
2/2/2019 18:00,140.75
2/2/2019 19:00,140.75
2/2/2019 20:00,134.25
2/2/2019 21:00,128
2/2/2019 22:00,127.75
2/2/2019 23:00,121.5
2/3/2019 0:00,121.5
2/3/2019 1:00,121.5
2/3/2019 2:00,115.25
2/3/2019 3:00,121.5
2/3/2019 4:00,121.5
2/3/2019 5:00,121.5
2/3/2019 6:00,121.5
2/3/2019 7:00,127.75
2/3/2019 8:00,121.5
2/3/2019 9:00,128
2/3/2019 10:00,128
2/3/2019 11:00,127.75
2/3/2019 12:00,128
2/3/2019 13:00,140.5
2/3/2019 14:00,134.5
2/3/2019 15:00,140.5
2/3/2019 16:00,140.75
2/3/2019 17:00,140.75
2/3/2019 18:00,140.75
2/3/2019 19:00,140.5
2/3/2019 20:00,153.5
2/3/2019 21:00,140.75
2/3/2019 22:00,134.25
2/3/2019 23:00,128
2/4/2019 0:00,128
2/4/2019 1:00,121.5
2/4/2019 2:00,121.5
2/4/2019 3:00,121.5
2/4/2019 4:00,115
2/4/2019 5:00,121.5
2/4/2019 6:00,128
2/4/2019 7:00,140.5
2/4/2019 8:00,153.5
2/4/2019 9:00,172.75
2/4/2019 10:00,172.75
2/4/2019 11:00,185.25
2/4/2019 12:00,179.25
2/4/2019 13:00,179
2/4/2019 14:00,185.5
2/4/2019 15:00,185.5
2/4/2019 16:00,179
2/4/2019 17:00,153.5
2/4/2019 18:00,153.5
2/4/2019 19:00,153.5
2/4/2019 20:00,147
2/4/2019 21:00,147
2/4/2019 22:00,153.5
2/4/2019 23:00,147.25
2/5/2019 0:00,147
2/5/2019 1:00,140.75
2/5/2019 2:00,140.5
2/5/2019 3:00,147.25
2/5/2019 4:00,134.25
2/5/2019 5:00,140.75
2/5/2019 6:00,140.5
2/5/2019 7:00,160
2/5/2019 8:00,166.25
2/5/2019 9:00,179
2/5/2019 10:00,198.25
2/5/2019 11:00,192
2/5/2019 12:00,185.25
2/5/2019 13:00,185.5
2/5/2019 14:00,185.5
2/5/2019 15:00,185.5
2/5/2019 16:00,179
2/5/2019 17:00,172.75
2/5/2019 18:00,159.75
2/5/2019 19:00,160
2/5/2019 20:00,153.5
2/5/2019 21:00,153.5
2/5/2019 22:00,147
2/5/2019 23:00,140.75
2/6/2019 0:00,140.75
2/6/2019 1:00,134.25
2/6/2019 2:00,134.25
2/6/2019 3:00,134.25
2/6/2019 4:00,134.25
2/6/2019 5:00,134.25
2/6/2019 6:00,147.25
2/6/2019 7:00,147
2/6/2019 8:00,153.5
2/6/2019 9:00,166.25
2/6/2019 10:00,185.5
2/6/2019 11:00,191.75
2/6/2019 12:00,179.25
2/6/2019 13:00,179
2/6/2019 14:00,185.5
2/6/2019 15:00,185.25
2/6/2019 16:00,179.25
2/6/2019 17:00,159.75
2/6/2019 18:00,153.5
2/6/2019 19:00,153.5
2/6/2019 20:00,153.5
2/6/2019 21:00,153.5
2/6/2019 22:00,147
2/6/2019 23:00,140.75
2/7/2019 0:00,140.75
2/7/2019 1:00,134.25
2/7/2019 2:00,134.25
2/7/2019 3:00,134.25
2/7/2019 4:00,134.25
2/7/2019 5:00,140.75
2/7/2019 6:00,140.75
2/7/2019 7:00,153.5
2/7/2019 8:00,147
2/7/2019 9:00,166.25
2/7/2019 10:00,179.25
2/7/2019 11:00,179
2/7/2019 12:00,179
2/7/2019 13:00,179
2/7/2019 14:00,179
2/7/2019 15:00,179.25
2/7/2019 16:00,172.5
2/7/2019 17:00,153.5
2/7/2019 18:00,147.25
2/7/2019 19:00,147
2/7/2019 20:00,153.5
2/7/2019 21:00,140.75
2/7/2019 22:00,147
2/7/2019 23:00,134.25
2/8/2019 0:00,128
2/8/2019 1:00,134.25
2/8/2019 2:00,128
2/8/2019 3:00,134.25
2/8/2019 4:00,127.75
2/8/2019 5:00,128
2/8/2019 6:00,140.75
2/8/2019 7:00,147
2/8/2019 8:00,153.5
2/8/2019 9:00,166.25
2/8/2019 10:00,172.75
2/8/2019 11:00,185.5
2/8/2019 12:00,179
2/8/2019 13:00,179
2/8/2019 14:00,191.75
2/8/2019 15:00,185.5
2/8/2019 16:00,185.5
2/8/2019 17:00,166.25
2/8/2019 18:00,153.5
2/8/2019 19:00,160
2/8/2019 20:00,153.25
2/8/2019 21:00,160
2/8/2019 22:00,147
2/8/2019 23:00,147.25
2/9/2019 0:00,140.5
2/9/2019 1:00,134.5
2/9/2019 2:00,127.75
2/9/2019 3:00,134.25
2/9/2019 4:00,134.5
2/9/2019 5:00,134.25
2/9/2019 6:00,134.25
2/9/2019 7:00,128
2/9/2019 8:00,134.25
2/9/2019 9:00,127.75
2/9/2019 10:00,134.25
2/9/2019 11:00,134.5
2/9/2019 12:00,140.5
2/9/2019 13:00,134.5
2/9/2019 14:00,153.5
2/9/2019 15:00,147
2/9/2019 16:00,140.75
2/9/2019 17:00,147
2/9/2019 18:00,140.75
2/9/2019 19:00,140.5
2/9/2019 20:00,134.5
2/9/2019 21:00,134.25
2/9/2019 22:00,134.25
2/9/2019 23:00,134.25
2/10/2019 0:00,134.25
2/10/2019 1:00,134.5
2/10/2019 2:00,134.25
2/10/2019 3:00,134.25
2/10/2019 4:00,134.25
2/10/2019 5:00,134.25
2/10/2019 6:00,134.25
2/10/2019 7:00,140.75
2/10/2019 8:00,147.25
2/10/2019 9:00,134.25
2/10/2019 10:00,140.5
2/10/2019 11:00,140.75
2/10/2019 12:00,147.25
2/10/2019 13:00,140.5
2/10/2019 14:00,140.75
2/10/2019 15:00,140.75
2/10/2019 16:00,134.25
2/10/2019 17:00,140.75
2/10/2019 18:00,140.75
2/10/2019 19:00,140.5
2/10/2019 20:00,140.75
2/10/2019 21:00,140.75
2/10/2019 22:00,134.25
2/10/2019 23:00,134.25
2/11/2019 0:00,128
2/11/2019 1:00,127.75
2/11/2019 2:00,128
2/11/2019 3:00,121.5
2/11/2019 4:00,128
2/11/2019 5:00,127.75
2/11/2019 6:00,140.75
2/11/2019 7:00,147
2/11/2019 8:00,147.25
2/11/2019 9:00,159.75
2/11/2019 10:00,160
2/11/2019 11:00,166.25
2/11/2019 12:00,166.25
2/11/2019 13:00,172.5
2/11/2019 14:00,172.75
2/11/2019 15:00,179
2/11/2019 16:00,166.25
2/11/2019 17:00,160
2/11/2019 18:00,140.75
2/11/2019 19:00,147
2/11/2019 20:00,140.75
